,date,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,num_tot
0,2020-12-20,0,0,0,0,0,0,0,0,0
1,2020-12-21,0,0,0,0,0,0,0,0,0
2,2020-12-22,0,0,0,0,0,0,0,0,0
3,2020-12-23,0,0,0,0,0,0,0,0,0
4,2020-12-24,0,0,0,0,0,0,0,0,0
5,2020-12-25,0,0,0,0,0,0,0,0,0
6,2020-12-26,0,0,0,0,0,0,0,0,0
7,2020-12-27,0,0,0,0,0,0,0,0,0
8,2020-12-28,0,0,0,0,0,0,0,0,0
9,2020-12-29,0,0,0,0,0,0,0,0,0
10,2020-12-30,0,0,0,0,0,0,0,0,0
11,2020-12-31,0,0,0,0,0,0,0,0,0
12,2021-01-01,0,0,0,0,0,0,0,0,0
13,2021-01-02,0,0,0,0,0,0,0,0,0
14,2021-01-03,27,291,672,959,978,866,311,72,4176
15,2021-01-04,52,473,1317,1892,1919,3639,2652,790,12734
16,2021-01-05,57,661,1759,2162,2246,6912,6341,2141,22279
17,2021-01-06,62,955,1885,2388,2666,10377,9606,3618,31557
18,2021-01-07,94,981,1753,2458,2707,12366,11398,4623,36380
19,2021-01-08,57,385,605,1024,1371,6304,6364,2817,18927
20,2021-01-09,37,224,397,713,1118,5678,5686,2428,16281
21,2021-01-10,195,1740,2757,3933,4973,16255,15235,7426,52514
22,2021-01-11,380,3380,4583,6326,7262,20387,18224,8937,69479
23,2021-01-12,444,3928,5361,7706,9256,23039,20191,11558,81483
24,2021-01-13,502,4302,5407,7503,10420,23044,19432,11172,81782
25,2021-01-14,649,4956,6532,9176,13418,22011,17994,10796,85532
26,2021-01-15,348,1674,2675,4411,7050,10177,7861,4630,38826
27,2021-01-16,382,1780,2823,5745,9500,9005,6619,4070,39924
28,2021-01-17,816,5404,6913,10476,15766,23147,18079,10531,91132
29,2021-01-18,887,6664,8183,12880,17685,23711,18965,10764,99739
30,2021-01-19,775,5448,6725,10319,14319,24007,19322,10731,91646
31,2021-01-20,670,5158,5624,8283,11897,22532,17684,10060,81908
32,2021-01-21,797,5278,6661,10449,15146,19052,14318,8423,80124
33,2021-01-22,919,3169,4846,8534,9050,9573,7162,3790,47043
34,2021-01-23,568,2794,4960,8671,8802,12131,10195,5275,53396
35,2021-01-24,596,4007,5869,8856,9499,15756,12971,6944,64498
36,2021-01-25,433,3679,5157,7953,9490,14931,12428,7441,61512
37,2021-01-26,459,3960,4716,6941,10712,14835,11627,6934,60184
38,2021-01-27,649,4958,6130,9158,19687,15560,11205,6898,74245
39,2021-01-28,630,4244,5567,8365,17203,9555,6100,3646,55310
40,2021-01-29,568,2820,4133,6613,11575,6050,3924,2466,38149
41,2021-01-30,647,3738,5044,9303,14265,10729,7791,4823,56340
42,2021-01-31,1197,8644,6968,14719,19879,11496,8031,4988,75922
43,2021-02-01,1306,10422,6174,13999,14784,10018,6922,4182,67807
44,2021-02-02,1155,9570,6489,15468,12831,8926,5822,3690,63951
45,2021-02-03,1258,8637,9004,19413,15071,8913,5540,3371,71207
46,2021-02-04,1275,6151,8859,17244,11540,5228,2977,1736,55010
47,2021-02-05,751,2954,5813,11179,6508,2860,1541,927,32533
48,2021-02-06,3271,2674,4718,10297,6267,2567,1489,911,32194
49,2021-02-07,5390,7172,6484,12636,7725,3123,1782,1103,45415
50,2021-02-08,6676,10058,7719,12871,8402,3433,1844,1082,52085
51,2021-02-09,6629,10392,8825,13738,11509,4063,2137,1229,58522
52,2021-02-10,7506,9848,9355,14923,11458,3613,1804,1044,59551
53,2021-02-11,6549,9571,12086,12432,7998,2679,1374,760,53449
