,date,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0,2020-12-20,0,0,0,0,0,0,0,0
1,2020-12-21,0,0,0,0,0,0,0,0
2,2020-12-22,0,0,0,0,0,0,0,0
3,2020-12-23,0,0,0,0,0,0,0,0
4,2020-12-24,0,0,0,0,0,0,0,0
5,2020-12-25,0,0,0,0,0,0,0,0
6,2020-12-26,0,0,0,0,0,0,0,0
7,2020-12-27,0,0,0,0,0,0,0,0
8,2020-12-28,0,0,0,0,0,0,0,0
9,2020-12-29,0,0,0,0,0,0,0,0
10,2020-12-30,0,0,0,0,0,0,0,0
11,2020-12-31,0,0,0,0,0,0,0,0
12,2021-01-01,0,0,0,0,0,0,0,0
13,2021-01-02,0,0,0,0,0,0,0,0
14,2021-01-03,27,291,672,959,978,866,311,72
15,2021-01-04,79,764,1989,2851,2897,4505,2963,862
16,2021-01-05,136,1425,3748,5013,5143,11417,9304,3003
17,2021-01-06,198,2380,5633,7401,7809,21794,18910,6621
18,2021-01-07,292,3361,7386,9859,10516,34160,30308,11244
19,2021-01-08,349,3746,7991,10883,11887,40464,36672,14061
20,2021-01-09,386,3970,8388,11596,13005,46142,42358,16489
21,2021-01-10,581,5710,11145,15529,17978,62397,57593,23915
22,2021-01-11,961,9090,15728,21855,25240,82784,75817,32852
23,2021-01-12,1405,13018,21089,29561,34496,105823,96008,44410
24,2021-01-13,1907,17320,26496,37064,44916,128867,115440,55582
25,2021-01-14,2556,22276,33028,46240,58334,150878,133434,66378
26,2021-01-15,2904,23950,35703,50651,65384,161055,141295,71008
27,2021-01-16,3286,25730,38526,56396,74884,170060,147914,75078
28,2021-01-17,4102,31134,45439,66872,90650,193207,165993,85609
29,2021-01-18,4989,37798,53622,79752,108335,216918,184958,96373
30,2021-01-19,5764,43246,60347,90071,122654,240925,204280,107104
31,2021-01-20,6434,48404,65971,98354,134551,263457,221964,117164
32,2021-01-21,7231,53682,72632,108803,149697,282509,236282,125587
33,2021-01-22,8150,56851,77478,117337,158747,292082,243444,129377
34,2021-01-23,8718,59645,82438,126008,167549,304213,253639,134652
35,2021-01-24,9314,63652,88307,134864,177048,319969,266610,141596
36,2021-01-25,9747,67331,93464,142817,186538,334900,279038,149037
37,2021-01-26,10206,71291,98180,149758,197250,349735,290665,155971
38,2021-01-27,10855,76249,104310,158916,216937,365295,301870,162869
39,2021-01-28,11485,80493,109877,167281,234140,374850,307970,166515
40,2021-01-29,12053,83313,114010,173894,245715,380900,311894,168981
41,2021-01-30,12700,87051,119054,183197,259980,391629,319685,173804
42,2021-01-31,13897,95695,126022,197916,279859,403125,327716,178792
43,2021-02-01,15203,106117,132196,211915,294643,413143,334638,182974
44,2021-02-02,16358,115687,138685,227383,307474,422069,340460,186664
45,2021-02-03,17616,124324,147689,246796,322545,430982,346000,190035
46,2021-02-04,18891,130475,156548,264040,334085,436210,348977,191771
47,2021-02-05,19642,133429,162361,275219,340593,439070,350518,192698
48,2021-02-06,22913,136103,167079,285516,346860,441637,352007,193609
49,2021-02-07,28303,143275,173563,298152,354585,444760,353789,194712
50,2021-02-08,34979,153333,181282,311023,362987,448193,355633,195794
51,2021-02-09,41608,163725,190107,324761,374496,452256,357770,197023
52,2021-02-10,49114,173573,199462,339684,385954,455869,359574,198067
53,2021-02-11,55663,183144,211548,352116,393952,458548,360948,198827
54,2021-02-12,58575,186906,218177,359922,399540,459933,361542,199174
55,2021-02-13,61987,192470,225497,370128,407600,461903,362520,199694
56,2021-02-14,67711,204200,238667,385161,416512,464967,364119,200572
57,2021-02-15,73684,219251,253818,400779,425260,468095,365832,201590
58,2021-02-16,78984,231706,267571,416494,432931,471020,367446,202589
59,2021-02-17,83349,242463,279975,429874,439632,473796,369043,203647
60,2021-02-18,87496,255557,294613,440205,444579,475872,370093,204345
61,2021-02-19,90700,261733,302589,447304,447953,477046,370668,204687
62,2021-02-20,94578,268603,309707,454627,451381,478435,371402,205144
63,2021-02-21,100537,282058,323087,464988,456790,480897,372750,205978
64,2021-02-22,106334,297800,337749,475052,461975,483279,374078,206782
65,2021-02-23,112732,314374,352359,485680,467512,485801,375409,207637
66,2021-02-24,118709,331898,369252,495829,472956,488293,376699,208371
67,2021-02-25,123452,348808,385316,504793,477881,490561,377746,208958
68,2021-02-26,126368,357560,394658,510632,480828,491751,378261,209242
69,2021-02-27,129897,366341,404549,517532,484378,493200,378941,209614
70,2021-02-28,135551,384582,422132,528078,490425,496164,380455,210479
71,2021-03-01,141220,403189,439518,538717,496648,499250,382008,211415
72,2021-03-02,146888,422515,456248,548724,502649,502277,383571,212322
73,2021-03-03,151626,440543,471518,556948,507346,504424,384560,212858
74,2021-03-04,156131,456420,485294,564858,511953,506586,385417,213274
75,2021-03-05,158822,465891,493624,569441,514535,507697,385814,213470
76,2021-03-06,161985,476389,502480,574471,517498,509003,386403,213799
77,2021-03-07,167485,495636,519325,583751,523093,511981,387900,214597
78,2021-03-08,173304,516666,537687,593696,529212,515303,389593,215537
79,2021-03-09,179122,537572,554816,603074,534964,518381,391147,216373
80,2021-03-10,184290,555963,569696,611511,540069,521042,392516,217113
81,2021-03-11,188166,569041,580510,618106,544151,523158,393452,217678
82,2021-03-12,190358,576484,586759,621939,546530,524206,393901,217942
83,2021-03-13,193443,586439,594755,626891,549541,525684,394590,218287
84,2021-03-14,198134,600782,606813,634274,554166,528224,395862,219009
85,2021-03-15,203191,616506,619690,642101,559130,531030,397285,219783
86,2021-03-16,207315,629772,630029,648730,563377,533506,398503,220380
87,2021-03-17,211840,643038,640392,655489,567774,536079,399791,221014
88,2021-03-18,215417,653314,648662,660965,571378,538098,400709,221478
